token	source	category	definition
zz94	volt	tag_feature	VOLT internal usage 94	
zz95	volt	tag_feature	VOLT internal usage 95	
zz96	volt	tag_feature	VOLT internal usage 96	
zz97	volt	tag_feature	VOLT internal usage 97	
zz98	volt	tag_feature	VOLT internal usage 98	
zz99	volt	tag_feature	VOLT internal usage 99	
hang	spec	tag_baseline	Hanging Baseline	
icfb	spec	tag_baseline	Ideographic Character Face Bottom Edge	
icft	spec	tag_baseline	Ideographic Character Face Top Edge	
ideo	spec	tag_baseline	Ideographic Em-Box Face Bottom Edge	
idtp	spec	tag_baseline	Ideographic Em-Box Face Top Edge	
math	spec	tag_baseline	Mathematical Formula Centerline	
romn	spec	tag_baseline	Alphabetic Script Baseline	
ital	spec	tag_axis	Italic	
opsz	spec	tag_axis	Optical Size	
slnt	spec	tag_axis	Slant	
wdth	spec	tag_axis	Width	
wght	spec	tag_axis	Weight	
ARRR	google	tag_axis	AR Retinal Resolution	
YTAS	google	tag_axis	Ascender Height	
BLED	google	tag_axis	Bleed	
BNCE	google	tag_axis	Bounce	
CASL	google	tag_axis	Casual	
CTRS	google	tag_axis	Contrast	
XTRA	google	tag_axis	Counter Width	
CRSV	google	tag_axis	Cursive	
YTDE	google	tag_axis	Descender Depth	
EHLT	google	tag_axis	Edge Highlight	
ELXP	google	tag_axis	Element Expansion	
ELGR	google	tag_axis	Element Grid	
ELSH	google	tag_axis	ELement Shape	
EDPT	google	tag_axis	Extrusion Depth	
YTFI	google	tag_axis	Figure Height	
FILL	google	tag_axis	Fill	
FLAR	google	tag_axis	Flare	
GRAD	google	tag_axis	Grade	
XELA	google	tag_axis	Horizontal Element Alignment	
XPN1	google	tag_axis	Horizontal Position of Paint 1	
XPN2	google	tag_axis	Horizontal Position of Paint 2	
HEXP	google	tag_axis	Hyper Expansion	
INFM	google	tag_axis	Informality	
YTLC	google	tag_axis	Lowercase Height	
MONO	google	tag_axis	Monospace	
MORF	google	tag_axis	Morph	
XROT	google	tag_axis	Rotation in X	
YROT	google	tag_axis	Rotation in Y	
ZROT	google	tag_axis	Rotation in Z	
ROND	google	tag_axis	Roundness	
SCAN	google	tag_axis	Scanlines	
SHLN	google	tag_axis	Shadow Length	
SHRP	google	tag_axis	Sharpness	
SZP1	google	tag_axis	Size of Paint 1	
SZP2	google	tag_axis	Size of Paint 2	
SOFT	google	tag_axis	Softness	
SPAC	google	tag_axis	Spacing	
XOPQ	google	tag_axis	Thick Stroke	
YOPQ	google	tag_axis	Thin Stroke	
YTUC	google	tag_axis	Uppercase Height	
YELA	google	tag_axis	Vertical Element Alignment	
YEXT	google	tag_axis	Vertical Extension	
YPN1	google	tag_axis	Vertical Position of Paint 1	
