BRE 	spec	language	Breton	
BRH 	spec	language	Brahui	
BRI 	spec	language	Braj Bhasha	
BRM 	spec	language	Burmese	
BRX 	spec	language	Bodo	
BSH 	spec	language	Bashkir	
BSK 	spec	language	Burushaski	
BTD 	spec	language	Batak Dairi (Pakpak)	
BTI 	spec	language	Beti	
BTK 	spec	language	Batak languages	
BTM 	spec	language	Batak Mandailing	
BTS 	spec	language	Batak Simalungun	
BTX 	spec	language	Batak Karo	
BTZ 	spec	language	Batak Alas-Kluet	
BUG 	spec	language	Bugis	
BYV 	spec	language	Medumba	
CAK 	spec	language	Kaqchikel	
CAT 	spec	language	Catalan	
CAY 	spec	language	Cayuga	
CBG 	spec	language	Chimila	
CBK 	spec	language	Zamboanga Chavacano	
